,gen,nevals,max,avg,min,std
0,0,100,[53.78814951  1.        ],[29.94202316  0.53      ],[-5.96231066  0.        ],[17.48369624  0.49909919]
1,1,100,[56.61103831  1.        ],[41.10385608  0.93      ],[-2.39527635  0.        ],[10.07481738  0.25514702]
2,2,100,[51.25234562  1.        ],[42.03171089  0.98      ],[3.60137288 0.        ],[7.62432038 0.14      ]
3,3,100,[59.8356641  1.       ],[43.30822808  1.        ],[34.36808499  1.        ],[6.43169548 0.        ]
4,4,100,[56.6262863  1.       ],[35.58378433  0.74      ],[-5.91722844  0.        ],[17.94983255  0.43863424]
5,5,100,[56.73866142  1.        ],[38.47833033  0.77      ],[-5.18446991  0.        ],[15.25843577  0.42083251]
6,6,100,[53.73235821  1.        ],[38.56211527  0.77      ],[-5.4643534  0.       ],[14.5137576   0.42083251]
7,7,100,[59.80193436  1.        ],[41.57610613  0.84      ],[-5.58284488  0.        ],[14.51501122  0.36660606]
8,8,100,[56.64989101  1.        ],[41.03846614  0.83      ],[-5.73867857  0.        ],[13.60566233  0.3756328 ]
9,9,100,[56.64939045  1.        ],[43.5565781  0.89     ],[6.58899618 0.        ],[11.00173628  0.31288976]
10,10,100,[56.50850544  1.        ],[40.49514169  0.79      ],[3.33793591 0.        ],[13.01815181  0.40730824]
11,11,100,[59.47497457  1.        ],[42.48353984  0.88      ],[3.43874687 0.        ],[12.11896874  0.32496154]
12,12,100,[54.72645485  1.        ],[43.87033366  0.89      ],[3.44700688 0.        ],[11.51778383  0.31288976]
13,13,100,[56.81940724  1.        ],[47.15844609  0.96      ],[9.33875211 0.        ],[7.87886821 0.19595918]
14,14,100,[56.79846212  1.        ],[46.95663668  0.96      ],[9.37843738 0.        ],[7.27239224 0.19595918]
15,15,100,[57.53896836  1.        ],[47.28425461  0.94      ],[9.41785377 0.        ],[6.83286731 0.23748684]
16,16,100,[56.96678877  1.        ],[47.03193548  0.97      ],[12.34229215  0.        ],[6.76046058 0.17058722]
17,17,100,[60.19603913  1.        ],[47.61741367  0.98      ],[18.37564298  0.        ],[5.01680492 0.14      ]
18,18,100,[56.7377269  1.       ],[48.43491521  1.        ],[41.36064871  1.        ],[3.85946861 0.        ]
19,19,100,[60.09603913  1.        ],[49.26541098  1.        ],[41.28790027  1.        ],[4.3581479 0.       ]
20,20,100,[60.65161793  1.        ],[48.6130183  1.       ],[38.69605134  1.        ],[4.28961383 0.        ]
21,21,100,[56.62528447  1.        ],[49.50352545  1.        ],[41.21860221  1.        ],[3.6863789 0.       ]
22,22,100,[60.24918345  1.        ],[49.90687276  1.        ],[41.42744665  1.        ],[4.04646894 0.        ]
23,23,100,[60.02528447  1.        ],[50.01922588  1.        ],[41.45940724  1.        ],[3.81707447 0.        ]
24,24,100,[60.07603913  1.        ],[51.06664813  1.        ],[43.93045156  1.        ],[3.930886 0.      ]
25,25,100,[60.72993164  1.        ],[51.24639019  1.        ],[41.51515412  1.        ],[4.20526965 0.        ]
26,26,100,[60.38783257  1.        ],[50.75357085  0.99      ],[30.36758138  0.        ],[4.80759931 0.09949874]
27,27,100,[57.06575572  1.        ],[50.66325142  1.        ],[41.84662408  1.        ],[3.55762987 0.        ]
28,28,100,[60.07603913  1.        ],[50.72390866  1.        ],[38.99125509  1.        ],[4.12538868 0.        ]
29,29,100,[59.5421792  1.       ],[51.13418042  1.        ],[41.68304404  1.        ],[3.68546125 0.        ]
30,0,100,[56.22036682  1.        ],[31.16650069  0.84      ],[1.00405039 0.        ],[13.18964763  0.36660606]
31,1,100,[56.5988426  1.       ],[40.28843364  0.93      ],[1.28919608 0.        ],[13.35123044  0.25514702]
32,2,100,[62.41004258  2.        ],[47.12306609  1.        ],[9.98944749 0.        ],[10.13780922  0.2       ]
33,3,100,[59.32847239  2.        ],[47.24405634  0.99      ],[1.0948567 0.       ],[8.69512387 0.17291616]
34,4,100,[59.4802389  2.       ],[47.55718884  1.01      ],[5.31189724 0.        ],[8.83636168 0.17291616]
35,5,100,[62.17161598  1.        ],[47.32918313  0.97      ],[13.25569351  0.        ],[9.38255789 0.17058722]
36,6,100,[65.31354616  1.        ],[48.24822279  0.98      ],[12.24193916  0.        ],[8.36732943 0.14      ]
37,7,100,[59.3980269  1.       ],[44.26787543  0.96      ],[1.0518059 0.       ],[10.33206074  0.19595918]
38,8,100,[60.35319682  2.        ],[46.66540765  0.99      ],[6.84492461 0.        ],[9.81376671 0.17291616]
39,9,100,[68.39777628  2.        ],[46.66068483  0.98      ],[5.95763357 0.        ],[10.45593053  0.19899749]
40,10,100,[60.12419557  2.        ],[50.5041988  1.03     ],[27.72019661  1.        ],[6.04099945 0.17058722]
41,11,100,[62.46040097  2.        ],[50.04029343  1.03      ],[28.06791092  1.        ],[6.69830102 0.17058722]
42,12,100,[59.38747946  1.        ],[50.10517544  1.        ],[24.81863724  1.        ],[5.82366663 0.        ]
43,13,100,[65.41282882  2.        ],[50.77872787  1.02      ],[17.43417541  1.        ],[7.0169567 0.14     ]
44,14,100,[65.54202823  2.        ],[50.28198217  1.01      ],[0.71572114 0.        ],[8.61986065 0.22338308]
45,15,100,[65.31386154  2.        ],[51.63288868  1.04      ],[31.72334712  1.        ],[5.37461919 0.19595918]
46,16,100,[68.61520918  2.        ],[50.4254902  1.03     ],[28.30270645  1.        ],[6.35178572 0.17058722]
47,17,100,[62.39733626  2.        ],[49.92600608  1.02      ],[28.06654802  1.        ],[7.59980047 0.14      ]
48,18,100,[64.46834445  2.        ],[50.6775645  1.02     ],[20.86790503  0.        ],[6.17954981 0.19899749]
49,19,100,[66.23631376  2.        ],[50.20165962  1.01      ],[28.03375109  1.        ],[7.29620421 0.09949874]
50,20,100,[68.41333013  2.        ],[50.64052031  1.02      ],[28.10150746  0.        ],[5.83016216 0.19899749]
51,21,100,[62.61281756  2.        ],[51.4483645  1.       ],[21.11862923  0.        ],[5.47146239 0.14142136]
52,22,100,[68.4544643  2.       ],[53.34160518  1.07      ],[31.60944082  1.        ],[5.11328653 0.25514702]
53,23,100,[62.46175644  2.        ],[51.76136695  1.02      ],[30.95449378  1.        ],[5.18673891 0.14      ]
54,24,100,[62.47278044  2.        ],[52.12944971  1.01      ],[41.16157901  1.        ],[4.38712214 0.09949874]
55,25,100,[62.25862025  2.        ],[51.41992261  1.02      ],[28.17042449  1.        ],[4.77546406 0.14      ]
56,26,100,[71.36097046  2.        ],[53.47554143  1.04      ],[44.39631759  1.        ],[4.55808316 0.19595918]
57,27,100,[65.45110047  2.        ],[53.10342596  1.03      ],[39.74650164  1.        ],[4.80399113 0.17058722]
58,28,100,[66.19708036  2.        ],[53.21844208  1.07      ],[41.24083682  1.        ],[4.84372425 0.25514702]
59,29,100,[68.39472187  2.        ],[53.31466181  1.03      ],[41.55631759  1.        ],[4.92362806 0.17058722]
60,0,100,[74.25220963  1.        ],[50.58066443  0.99      ],[-3.61689228  0.        ],[8.00930233 0.09949874]
61,1,100,[74.3284548  1.       ],[55.95971407  1.        ],[46.83759282  1.        ],[7.11866436 0.        ]
62,2,100,[71.30863756  1.        ],[51.88943709  0.97      ],[-3.60393833  0.        ],[12.88015979  0.17058722]
63,3,100,[71.4780905  1.       ],[50.83340181  0.96      ],[-4.10416318  0.        ],[14.09691066  0.19595918]
64,4,100,[71.19617903  1.        ],[53.42180928  0.96      ],[-4.02409145  0.        ],[14.22299468  0.19595918]
65,5,100,[71.16444916  1.        ],[53.3096575  0.97     ],[-4.07022195  0.        ],[13.43953257  0.17058722]
66,6,100,[74.47523635  1.        ],[55.84154405  0.99      ],[22.00686853  0.        ],[8.00357556 0.09949874]
67,7,100,[74.26703541  1.        ],[55.73155365  0.99      ],[21.64824441  0.        ],[8.13515615 0.09949874]
68,8,100,[71.40614852  1.        ],[55.73587351  0.98      ],[-4.05952462  0.        ],[11.61959267  0.14      ]
69,9,100,[74.33494286  1.        ],[55.62945649  0.99      ],[25.12686853  0.        ],[7.4675707  0.09949874]
70,10,100,[71.43019545  1.        ],[58.00302239  1.        ],[47.18263458  1.        ],[7.10742862 0.        ]
71,11,100,[74.30027238  1.        ],[58.13794761  1.        ],[47.79053418  1.        ],[7.72515739 0.        ]
72,12,100,[71.43571565  1.        ],[58.33328696  1.        ],[47.30658443  1.        ],[7.51748308 0.        ]
73,13,100,[74.17297957  1.        ],[58.96243685  1.        ],[47.19897189  1.        ],[7.21673493 0.        ]
74,14,100,[74.41745859  1.        ],[61.59223575  1.        ],[47.29977333  1.        ],[6.99020687 0.        ]
75,15,100,[77.33619835  1.        ],[61.05263715  1.        ],[47.30719322  1.        ],[7.59402311 0.        ]
