,gen,nevals,max,avg,min,std
0,0,100,[90.07203191  2.        ],[69.06097073  0.97      ],[7.70993229 0.        ],[21.89631976  0.67014924]
1,1,100,[90.58203191  2.        ],[76.47396634  1.18      ],[25.3582124  0.       ],[14.43972577  0.63843559]
2,2,100,[90.4389706  2.       ],[65.96456934  0.93      ],[7.93556768 0.        ],[23.17886715  0.82770768]
3,3,100,[90.42863509  2.        ],[61.47586029  0.78      ],[8.00284017 0.        ],[22.89239096  0.71526219]
4,4,100,[90.60617313  2.        ],[64.23167805  0.98      ],[7.94204026 0.        ],[24.23361188  0.76131465]
5,5,100,[90.57617313  2.        ],[67.05939215  0.96      ],[3.32884247 0.        ],[26.06662777  0.74726167]
6,6,100,[90.43679893  2.        ],[64.28955473  0.88      ],[3.1415936 0.       ],[27.32537968  0.76524506]
7,7,100,[90.56162313  2.        ],[67.67028891  0.97      ],[12.02252947  0.        ],[23.78969331  0.79315824]
8,8,100,[90.64340212  2.        ],[73.57886093  1.09      ],[7.83314845 0.        ],[19.89771514  0.69419018]
9,9,100,[90.61340212  2.        ],[74.30950092  1.11      ],[21.12623842  0.        ],[18.90585625  0.79868642]
10,10,100,[90.6988398  2.       ],[71.87966871  1.12      ],[7.93717799 0.        ],[22.42868089  0.85182158]
11,11,100,[90.67874976  2.        ],[72.12149693  1.        ],[16.90352972  0.        ],[19.62992027  0.82462113]
12,12,100,[90.65162313  2.        ],[72.01703713  1.06      ],[8.01243017 0.        ],[20.88033958  0.84640416]
13,13,100,[90.70064475  2.        ],[72.8215893  1.06     ],[21.26666396  0.        ],[18.95720201  0.79774683]
14,14,100,[90.7449773  2.       ],[61.70735033  0.81      ],[8.01402507 0.        ],[24.78035632  0.86827415]
15,15,100,[90.70774831  2.        ],[72.83728633  1.22      ],[7.93717799 0.        ],[22.90847151  0.86694867]
16,16,100,[90.79486646  2.        ],[76.92231619  1.35      ],[25.92012779  0.        ],[18.75709313  0.80467385]
17,17,100,[90.7888398  2.       ],[78.99600247  1.34      ],[30.52370279  0.        ],[17.63711937  0.73783467]
18,18,100,[91.5588199  2.       ],[79.38024744  1.4       ],[34.90945875  0.        ],[18.12964536  0.76157731]
19,19,100,[90.85606879  2.        ],[73.15733301  1.1       ],[21.44041424  0.        ],[21.26739808  0.8660254 ]
20,20,100,[91.46279324  2.        ],[77.24009108  1.28      ],[21.41257603  0.        ],[18.82836272  0.80099938]
21,21,100,[91.55279324  2.        ],[75.93169261  1.19      ],[21.51243017  0.        ],[19.190464    0.82091412]
22,22,100,[90.82774831  2.        ],[80.87365795  1.41      ],[21.44041424  0.        ],[15.65317493  0.74959989]
23,23,100,[91.5288199  2.       ],[84.10962976  1.5       ],[34.96379852  0.        ],[11.42144706  0.7       ]
24,24,100,[91.5588199  2.       ],[82.65878394  1.53      ],[34.88657894  0.        ],[14.18782168  0.68490875]
25,25,100,[91.55012656  2.        ],[83.24210534  1.54      ],[34.9326325  0.       ],[13.19045028  0.69885621]
26,26,100,[91.46012656  2.        ],[83.83345624  1.52      ],[34.96957983  0.        ],[11.98260001  0.62417946]
27,27,100,[91.5588199  2.       ],[87.08685984  1.68      ],[66.10959354  0.        ],[5.83747999 0.52687759]
28,28,100,[91.5288199  2.       ],[84.1962781  1.53     ],[34.64048161  0.        ],[11.11123699  0.63960926]
29,29,100,[91.4988199  2.       ],[82.31122913  1.47      ],[25.99338121  0.        ],[13.27804352  0.67014924]
30,0,100,[76.41746131  1.        ],[73.29978841  0.99      ],[56.84070575  0.        ],[2.8123416  0.09949874]
31,1,100,[76.56514112  1.        ],[61.92509974  0.59      ],[-5.59129319  0.        ],[20.74640791  0.49183331]
32,2,100,[76.5283433  1.       ],[62.76830494  0.51      ],[-5.69145964  0.        ],[18.98849107  0.49989999]
33,3,100,[76.5283433  1.       ],[62.06584833  0.5       ],[-5.56509992  0.        ],[18.77959735  0.5       ]
34,4,100,[76.56514112  1.        ],[66.3654358  0.58     ],[12.30093975  0.        ],[13.56031558  0.49355851]
35,5,100,[77.56738071  1.        ],[65.33584197  0.55      ],[-5.61687026  0.        ],[16.00476801  0.49749372]
36,6,100,[77.56507124  1.        ],[63.49939664  0.47      ],[-5.81294847  0.        ],[18.33267964  0.49909919]
37,7,100,[76.56514112  1.        ],[62.94533221  0.52      ],[-1.29582211  0.        ],[20.55169242  0.49959984]
38,8,100,[77.56738071  1.        ],[64.41683076  0.48      ],[3.2732 0.    ],[16.89520902  0.49959984]
39,9,100,[76.56514112  1.        ],[67.09576587  0.47      ],[3.20561261 0.        ],[11.95790001  0.49909919]
40,10,100,[77.56507124  1.        ],[68.47128639  0.52      ],[30.19731149  0.        ],[8.92788257 0.49959984]
41,11,100,[77.56507124  1.        ],[69.19037303  0.56      ],[30.12809253  0.        ],[8.68588314 0.49638695]
42,12,100,[76.56628898  1.        ],[67.67588581  0.53      ],[-5.76019874  0.        ],[13.12859456  0.49909919]
43,13,100,[77.56738071  1.        ],[68.79508184  0.5       ],[52.50143609  0.        ],[7.72113612 0.5       ]
44,14,100,[76.56631621  1.        ],[69.11713198  0.53      ],[43.48375362  0.        ],[7.96654014 0.49909919]
45,15,100,[77.56507124  1.        ],[66.93404867  0.42      ],[3.26994766 0.        ],[10.10903456  0.49355851]
46,16,100,[76.56514112  1.        ],[68.71550665  0.54      ],[16.78299394  0.        ],[10.04688841  0.49839743]
47,17,100,[77.56738071  1.        ],[69.57944903  0.54      ],[57.30982319  0.        ],[7.27368982 0.49839743]
48,18,100,[77.56738071  1.        ],[68.94291379  0.5       ],[52.76578497  0.        ],[7.55468686 0.5       ]
49,19,100,[77.56738071  1.        ],[69.35957054  0.52      ],[61.78514112  0.        ],[7.25088363 0.49959984]
50,20,100,[77.56738071  1.        ],[68.9818  0.52  ],[48.00878864  0.        ],[7.92852472 0.49959984]
51,21,100,[77.56738071  1.        ],[68.56733737  0.49      ],[47.98597707  0.        ],[7.91274526 0.49989999]
52,22,100,[77.56738071  1.        ],[69.0047884  0.51     ],[48.34965144  0.        ],[7.74685112 0.49989999]
53,23,100,[76.56396879  1.        ],[67.18783441  0.46      ],[12.3462382  0.       ],[10.15546996  0.49839743]
54,24,100,[76.56396879  1.        ],[70.07895249  0.59      ],[48.34687718  0.        ],[7.73679606 0.49183331]
55,25,100,[76.56514112  1.        ],[68.79663671  0.52      ],[48.00271323  0.        ],[8.06045277 0.49959984]
56,26,100,[77.56738071  1.        ],[68.66680658  0.49      ],[52.78798566  0.        ],[7.71346909 0.49989999]
57,27,100,[77.56738071  1.        ],[69.21738462  0.54      ],[30.54693027  0.        ],[8.36555198 0.49839743]
58,28,100,[76.56396879  1.        ],[69.36616498  0.52      ],[52.75893185  0.        ],[7.35672586 0.49959984]
59,29,100,[77.56738071  1.        ],[70.18199935  0.58      ],[57.32672988  0.        ],[7.31696783 0.49355851]
60,0,100,[82.20124776  1.        ],[73.04405501  0.91      ],[30.4688025  0.       ],[11.51894562  0.28618176]
61,1,100,[89.77517213  2.        ],[65.76028013  0.67      ],[30.46197646  0.        ],[17.16533418  0.51097945]
62,2,100,[87.57458685  2.        ],[57.4144841  0.43     ],[16.33796328  0.        ],[19.411989    0.53394756]
63,3,100,[90.34919185  2.        ],[59.09902738  0.49      ],[4.71996945 0.        ],[20.51045906  0.53842363]
64,4,100,[89.91286845  2.        ],[44.18666709  0.38      ],[0.33072756 0.        ],[26.99498584  0.56178288]
65,5,100,[90.09484035  2.        ],[48.02096415  0.4       ],[-0.0660813  0.       ],[24.29436151  0.50990195]
66,6,100,[90.34919185  2.        ],[49.66182568  0.53      ],[0.05033928 0.        ],[28.41698177  0.62377881]
67,7,100,[87.95459673  2.        ],[40.66402146  0.33      ],[0.05617365 0.        ],[26.51110834  0.51097945]
68,8,100,[88.2253155  2.       ],[50.56471658  0.4       ],[0.07166953 0.        ],[22.80617837  0.50990195]
69,9,100,[89.36155504  2.        ],[46.54012648  0.47      ],[0.15442675 0.        ],[28.44501328  0.60753601]
70,10,100,[90.43919185  2.        ],[50.38931386  0.44      ],[-0.00557873  0.        ],[25.02929593  0.57131427]
71,11,100,[82.89617034  1.        ],[46.95531794  0.37      ],[0.09521787 0.        ],[23.02194436  0.48280431]
72,12,100,[80.75046673  1.        ],[43.62699708  0.33      ],[0.35573277 0.        ],[22.8312326   0.47021272]
73,13,100,[90.53483374  2.        ],[54.35310426  0.58      ],[0.16017394 0.        ],[21.1713219   0.53254108]
74,14,100,[90.62483374  2.        ],[52.70158982  0.55      ],[0.09268622 0.        ],[23.66857868  0.60621778]
75,15,100,[88.69919185  2.        ],[51.57761174  0.56      ],[0.07653575 0.        ],[23.44220072  0.58855756]
76,16,100,[90.41483374  2.        ],[53.69573606  0.57      ],[0.07531475 0.        ],[23.95120345  0.66715815]
77,17,100,[90.44483374  2.        ],[54.74201121  0.46      ],[0.09521787 0.        ],[21.52201424  0.65452273]
78,18,100,[90.23483374  2.        ],[57.38066124  0.61      ],[0.09648852 0.        ],[22.91118674  0.69130312]
79,19,100,[90.82919185  2.        ],[56.46196066  0.58      ],[0.09268622 0.        ],[23.30818594  0.7236021 ]
80,20,100,[90.79919185  2.        ],[52.7827712  0.6      ],[0.15157774 0.        ],[26.06188993  0.73484692]
81,21,100,[90.87790385  2.        ],[56.6899579  0.64     ],[0.08891262 0.        ],[23.55975633  0.71442284]
